Positive Score,Negative Score,Polarity Score,Subjectivity Score,Avg Sentence Length,Percentage of Complex Words,Fog Index,Avg Number of Words Per Sentence,Complex Word Count,Word Count,Syllables per Word,Personal Pronouns,Avg Word Length,File Name
1,0,0.1,0.3,49,32.65306122,32.66122449,49,16,49,2.571428571,0,13.18367347,bctech2129.txt
1,0,0.1,0.3,49,32.65306122,32.66122449,49,16,49,2.571428571,0,13.18367347,bctech2129 (1).txt
5,5,0.03176020408,0.2617346939,20.41666667,15.10204082,14.20748299,20.41666667,37,245,1.66122449,5,5.481632653,bctech2086.txt
13,4,0.1461538462,0.5703671329,22.13333333,18.37349398,16.20273092,22.13333333,61,332,1.759036145,1,5.936746988,bctech2034.txt
4,0,0.1333333333,0.3854166667,20.85714286,11.64383562,13.00039139,20.85714286,34,292,1.520547945,6,4.98630137,bctech2135.txt
11,8,0.08098958333,0.3932291667,29.06666667,8.486238532,15.02116208,29.06666667,37,436,1.417431193,9,4.880733945,bctech2049.txt
6,1,0.1441666667,0.5066666667,22.77777778,10.73170732,13.40379404,22.77777778,22,205,1.56097561,1,5.107317073,bctech2138.txt
2,1,0.1,0.475,83,7.228915663,36.09156627,83,6,83,1.421686747,1,4.78313253,bctech2084.txt
6,3,0.09910714286,0.605952381,22.15384615,12.15277778,13.72264957,22.15384615,35,288,1.520833333,7,5.4375,bctech2142.txt
13,3,0.08508658009,0.397987013,19.25806452,13.73534338,13.19736316,19.25806452,82,597,1.634840871,19,5.529313233,bctech2025.txt
9,3,0.08433766234,0.3260952381,21,12.79761905,13.51904762,21,43,336,1.580357143,1,5.351190476,bctech2083.txt
5,2,0.08161764706,0.3791666667,23.44444444,14.69194313,15.25455503,23.44444444,31,211,1.6492891,3,5.331753555,bctech2108.txt
9,2,0.131875,0.4628571429,26,11.53846154,15.01538462,26,33,286,1.541958042,6,5.5,bctech2080.txt
2,3,-0.03272727273,0.3109090909,27.33333333,25.6097561,21.17723577,27.33333333,21,82,2.012195122,1,6.756097561,bctech2013.txt
0,3,-0.16,0.2733333333,34,19.11764706,21.24705882,34,13,68,1.75,0,5.955882353,bctech2132.txt
